pulseheight,counts,
1.342281879,0,
4.026845638,0,
6.711409396,0,
9.395973154,1,
12.08053691,0,
14.76510067,0,
17.44966443,0,
20.13422819,0,
22.81879195,0,
25.5033557,0,
28.18791946,0,
30.87248322,0,
33.55704698,0,
36.24161074,0,
38.9261745,0,
41.61073826,0,
44.29530201,0,
46.97986577,0,
49.66442953,0,
52.34899329,0,
55.03355705,0,
57.71812081,0,
60.40268456,1,
63.08724832,0,
65.77181208,0,
68.45637584,1,
71.1409396,0,
73.82550336,0,
76.51006711,0,
79.19463087,1,
81.87919463,0,
84.56375839,0,
87.24832215,0,
89.93288591,0,
92.61744966,0,
95.30201342,0,
97.98657718,1,
100.6711409,32,
103.3557047,61,
106.0402685,64,
108.7248322,66,
111.409396,68,
114.0939597,81,
116.7785235,80,
119.4630872,97,
122.147651,106,
124.8322148,96,
127.5167785,83,
130.2013423,113,
132.885906,117,
135.5704698,121,
138.2550336,120,
140.9395973,134,
143.6241611,143,
146.3087248,188,
148.9932886,182,
151.6778523,203,
154.3624161,206,
157.0469799,237,
159.7315436,271,
162.4161074,343,
165.1006711,401,
167.7852349,457,
170.4697987,558,
173.1543624,743,
175.8389262,917,
178.5234899,1285,
181.2080537,1685,
183.8926174,2361,
186.5771812,3518,
189.261745,6024,
191.9463087,11512,
194.6308725,15403,
197.3154362,2164,
200,7,
202.6845638,2,
205.3691275,4,
208.0536913,0,
210.738255,2,
213.4228188,2,
216.1073826,7,
218.7919463,6,
221.4765101,6,
224.1610738,5,
226.8456376,10,
229.5302013,12,
232.2147651,13,
234.8993289,25,
237.5838926,19,
240.2684564,22,
242.9530201,14,
245.6375839,22,
248.3221477,25,
251.0067114,16,
253.6912752,15,
256.3758389,16,
259.0604027,17,
261.7449664,14,
264.4295302,16,
267.114094,15,
269.7986577,14,
272.4832215,12,
275.1677852,12,
277.852349,22,
280.5369128,13,
283.2214765,11,
285.9060403,9,
288.590604,18,
291.2751678,14,
293.9597315,9,
296.6442953,13,
299.3288591,143,
302.0134228,28,
304.6979866,12,
307.3825503,9,
310.0671141,4,
312.7516779,0,
315.4362416,0,
318.1208054,0,
320.8053691,0,
323.4899329,0,
326.1744966,0,
328.8590604,0,
331.5436242,0,
334.2281879,0,
336.9127517,0,
339.5973154,0,
342.2818792,0,
344.966443,0,
347.6510067,0,
350.3355705,0,
353.0201342,0,
355.704698,0,
358.3892617,0,
361.0738255,0,
363.7583893,0,
366.442953,0,
369.1275168,0,
371.8120805,0,
374.4966443,0,
377.1812081,0,
379.8657718,0,
382.5503356,0,
385.2348993,0,
387.9194631,0,
390.6040268,0,
393.2885906,0,
395.9731544,0,
398.6577181,0,
