pulseheight,counts,y1
53.2885906,21,
79.86577181,6,
106.442953,19,
133.0201342,44,
159.5973154,139,
186.1744966,327,
212.7516779,748,
239.3288591,1484,
265.9060403,2000,
292.4832215,2057,
319.0604027,2105,
345.6375839,2248,
372.2147651,2984,
398.7919463,2851,
425.3691275,2289,
451.9463087,2039,
478.5234899,1997,
505.1006711,1885,
531.6778523,1832,
558.2550336,1698,
584.8322148,1643,
611.409396,1366,
637.9865772,1450,
664.5637584,1324,
691.1409396,1285,
717.7181208,1237,
744.295302,1259,
770.8724832,1280,
797.4496644,1248,
824.0268456,1211,
850.6040268,1214,
877.1812081,1005,
903.7583893,757,
930.3355705,554,
956.9127517,428,
983.4899329,319,
1010.067114,274,
1036.644295,235,
1063.221477,224,
1089.798658,219,
1116.375839,214,
1142.95302,350,
1169.530201,824,
1196.107383,2103,
1222.684564,4268,
1249.261745,6000,
1275.838926,6078,
1302.416107,3937,
1328.993289,1969,
1355.57047,693,
1382.147651,171,
1408.724832,45,
1435.302013,31,
1461.879195,17,
1488.456376,29,
1515.033557,27,
1541.610738,25,
1568.187919,20,
1594.765101,23,
1621.342282,18,
1647.919463,25,
1674.496644,13,
1701.073826,20,
1727.651007,17,
1754.228188,22,
1780.805369,15,
1807.38255,17,
1833.959732,12,
1860.536913,21,
1887.114094,7,
1913.691275,11,
1940.268456,12,
1966.845638,12,
1993.422819,13,
2020,10,
2046.577181,12,
2073.154362,3,
2099.731544,9,
2126.308725,11,
2152.885906,11,
2179.463087,15,
2206.040268,12,
2232.61745,11,
2259.194631,4,
2285.771812,6,
2312.348993,10,
2338.926174,17,
2365.503356,4,
2392.080537,6,
2418.657718,5,
2445.234899,5,
2471.812081,6,
2498.389262,7,
2524.966443,8,
2551.543624,6,
2578.120805,6,
2604.697987,9,
2631.275168,4,
2657.852349,1,
2684.42953,3,
2711.006711,6,
2737.583893,4,
2764.161074,4,
2790.738255,5,
2817.315436,4,
2843.892617,3,
2870.469799,4,
2897.04698,2,
2923.624161,2,
2950.201342,0,
2976.778523,0,
3003.355705,0,
3029.932886,1,
3056.510067,1,
3083.087248,0,
3109.66443,2,
3136.241611,2,
3162.818792,1,
3189.395973,0,
3215.973154,2,
3242.550336,1,
3269.127517,0,
3295.704698,0,
3322.281879,1,
3348.85906,1,
3375.436242,0,
3402.013423,0,
3428.590604,2,
3455.167785,0,
3481.744966,1,
3508.322148,0,
3534.899329,1,
3561.47651,1,
3588.053691,1,
3614.630872,21,
3641.208054,20,
3667.785235,1,
3694.362416,0,
3720.939597,0,
3747.516779,0,
3774.09396,0,
3800.671141,0,
3827.248322,0,
3853.825503,0,
3880.402685,0,
3906.979866,0,
3933.557047,0,
3960.134228,0,
3986.711409,0,
