pulseheight,counts,y1
53.2885906,0,
79.86577181,0,
106.442953,2,
133.0201342,19,
159.5973154,88,
186.1744966,243,
212.7516779,635,
239.3288591,943,
265.9060403,1052,
292.4832215,992,
319.0604027,881,
345.6375839,942,
372.2147651,931,
398.7919463,810,
425.3691275,732,
451.9463087,702,
478.5234899,617,
505.1006711,571,
531.6778523,502,
558.2550336,456,
584.8322148,436,
611.409396,368,
637.9865772,326,
664.5637584,266,
691.1409396,238,
717.7181208,200,
744.295302,181,
770.8724832,172,
797.4496644,172,
824.0268456,146,
850.6040268,144,
877.1812081,156,
903.7583893,228,
930.3355705,494,
956.9127517,870,
983.4899329,967,
1010.067114,737,
1036.644295,390,
1063.221477,152,
1089.798658,90,
1116.375839,69,
1142.95302,70,
1169.530201,73,
1196.107383,58,
1222.684564,59,
1249.261745,74,
1275.838926,53,
1302.416107,58,
1328.993289,63,
1355.57047,39,
1382.147651,40,
1408.724832,63,
1435.302013,37,
1461.879195,53,
1488.456376,30,
1515.033557,48,
1541.610738,49,
1568.187919,46,
1594.765101,37,
1621.342282,43,
1647.919463,39,
1674.496644,49,
1701.073826,35,
1727.651007,36,
1754.228188,47,
1780.805369,66,
1807.38255,57,
1833.959732,51,
1860.536913,57,
1887.114094,46,
1913.691275,38,
1940.268456,49,
1966.845638,26,
1993.422819,32,
2020,29,
2046.577181,21,
2073.154362,18,
2099.731544,25,
2126.308725,17,
2152.885906,20,
2179.463087,7,
2206.040268,16,
2232.61745,21,
2259.194631,23,
2285.771812,33,
2312.348993,62,
2338.926174,81,
2365.503356,113,
2392.080537,97,
2418.657718,96,
2445.234899,100,
2471.812081,74,
2498.389262,55,
2524.966443,31,
2551.543624,27,
2578.120805,16,
2604.697987,7,
2631.275168,12,
2657.852349,15,
2684.42953,12,
2711.006711,18,
2737.583893,13,
2764.161074,13,
2790.738255,14,
2817.315436,11,
2843.892617,13,
2870.469799,4,
2897.04698,7,
2923.624161,1,
2950.201342,6,
2976.778523,3,
3003.355705,3,
3029.932886,1,
3056.510067,1,
3083.087248,4,
3109.66443,5,
3136.241611,1,
3162.818792,1,
3189.395973,1,
3215.973154,4,
3242.550336,3,
3269.127517,1,
3295.704698,1,
3322.281879,3,
3348.85906,4,
3375.436242,1,
3402.013423,4,
3428.590604,2,
3455.167785,0,
3481.744966,2,
3508.322148,2,
3534.899329,2,
3561.47651,3,
3588.053691,1,
3614.630872,157,
3641.208054,1,
3667.785235,0,
3694.362416,0,
3720.939597,0,
3747.516779,0,
3774.09396,0,
3800.671141,0,
3827.248322,0,
3853.825503,0,
3880.402685,0,
3906.979866,0,
3933.557047,0,
3960.134228,0,
3986.711409,0,
