pulseheight,counts,
1.342281879,0,
4.026845638,0,
6.711409396,0,
9.395973154,0,
12.08053691,0,
14.76510067,0,
17.44966443,0,
20.13422819,0,
22.81879195,0,
25.5033557,0,
28.18791946,0,
30.87248322,0,
33.55704698,0,
36.24161074,0,
38.9261745,0,
41.61073826,0,
44.29530201,0,
46.97986577,0,
49.66442953,0,
52.34899329,0,
55.03355705,0,
57.71812081,0,
60.40268456,0,
63.08724832,0,
65.77181208,0,
68.45637584,0,
71.1409396,0,
73.82550336,0,
76.51006711,1,
79.19463087,1,
81.87919463,0,
84.56375839,0,
87.24832215,2,
89.93288591,0,
92.61744966,1,
95.30201342,1,
97.98657718,1,
100.6711409,72,
103.3557047,102,
106.0402685,105,
108.7248322,113,
111.409396,139,
114.0939597,163,
116.7785235,156,
119.4630872,187,
122.147651,198,
124.8322148,235,
127.5167785,251,
130.2013423,311,
132.885906,332,
135.5704698,421,
138.2550336,480,
140.9395973,528,
143.6241611,671,
146.3087248,843,
148.9932886,1075,
151.6778523,1382,
154.3624161,1839,
157.0469799,2591,
159.7315436,3948,
162.4161074,6645,
165.1006711,12164,
167.7852349,12590,
170.4697987,2097,
173.1543624,25,
175.8389262,5,
178.5234899,5,
181.2080537,1,
183.8926174,2,
186.5771812,5,
189.261745,6,
191.9463087,2,
194.6308725,10,
197.3154362,9,
200,21,
202.6845638,13,
205.3691275,28,
208.0536913,21,
210.738255,25,
213.4228188,23,
216.1073826,22,
218.7919463,23,
221.4765101,11,
224.1610738,12,
226.8456376,16,
229.5302013,16,
232.2147651,9,
234.8993289,21,
237.5838926,19,
240.2684564,15,
242.9530201,15,
245.6375839,9,
248.3221477,9,
251.0067114,10,
253.6912752,15,
256.3758389,12,
259.0604027,11,
261.7449664,8,
264.4295302,8,
267.114094,10,
269.7986577,10,
272.4832215,14,
275.1677852,15,
277.852349,6,
280.5369128,7,
283.2214765,9,
285.9060403,6,
288.590604,13,
291.2751678,8,
293.9597315,4,
296.6442953,10,
299.3288591,33,
302.0134228,15,
304.6979866,2,
307.3825503,1,
310.0671141,0,
312.7516779,0,
315.4362416,0,
318.1208054,0,
320.8053691,0,
323.4899329,0,
326.1744966,0,
328.8590604,0,
331.5436242,0,
334.2281879,0,
336.9127517,0,
339.5973154,0,
342.2818792,0,
344.966443,0,
347.6510067,0,
350.3355705,0,
353.0201342,0,
355.704698,0,
358.3892617,0,
361.0738255,0,
363.7583893,0,
366.442953,0,
369.1275168,0,
371.8120805,0,
374.4966443,0,
377.1812081,0,
379.8657718,0,
382.5503356,0,
385.2348993,0,
387.9194631,0,
390.6040268,0,
393.2885906,0,
395.9731544,0,
398.6577181,0,
