pulseheight,counts,
1.342281879,0,
4.026845638,0,
6.711409396,0,
9.395973154,0,
12.08053691,0,
14.76510067,0,
17.44966443,0,
20.13422819,0,
22.81879195,0,
25.5033557,0,
28.18791946,0,
30.87248322,1,
33.55704698,0,
36.24161074,0,
38.9261745,0,
41.61073826,0,
44.29530201,0,
46.97986577,0,
49.66442953,0,
52.34899329,0,
55.03355705,0,
57.71812081,0,
60.40268456,0,
63.08724832,0,
65.77181208,0,
68.45637584,0,
71.1409396,0,
73.82550336,0,
76.51006711,1,
79.19463087,0,
81.87919463,0,
84.56375839,1,
87.24832215,1,
89.93288591,0,
92.61744966,1,
95.30201342,2,
97.98657718,1,
100.6711409,47,
103.3557047,68,
106.0402685,106,
108.7248322,111,
111.409396,123,
114.0939597,123,
116.7785235,123,
119.4630872,107,
122.147651,130,
124.8322148,134,
127.5167785,142,
130.2013423,127,
132.885906,130,
135.5704698,150,
138.2550336,147,
140.9395973,152,
143.6241611,170,
146.3087248,183,
148.9932886,197,
151.6778523,178,
154.3624161,221,
157.0469799,215,
159.7315436,213,
162.4161074,223,
165.1006711,270,
167.7852349,249,
170.4697987,287,
173.1543624,279,
175.8389262,324,
178.5234899,368,
181.2080537,398,
183.8926174,455,
186.5771812,527,
189.261745,610,
191.9463087,832,
194.6308725,999,
197.3154362,1190,
200,1522,
202.6845638,2003,
205.3691275,2752,
208.0536913,4078,
210.738255,6035,
213.4228188,9837,
216.1073826,19476,
218.7919463,32841,
221.4765101,3641,
224.1610738,10,
226.8456376,3,
229.5302013,2,
232.2147651,6,
234.8993289,2,
237.5838926,3,
240.2684564,5,
242.9530201,3,
245.6375839,6,
248.3221477,12,
251.0067114,12,
253.6912752,9,
256.3758389,15,
259.0604027,16,
261.7449664,31,
264.4295302,43,
267.114094,35,
269.7986577,36,
272.4832215,26,
275.1677852,29,
277.852349,30,
280.5369128,26,
283.2214765,17,
285.9060403,25,
288.590604,31,
291.2751678,32,
293.9597315,24,
296.6442953,26,
299.3288591,487,
302.0134228,110,
304.6979866,34,
307.3825503,39,
310.0671141,22,
312.7516779,2,
315.4362416,0,
318.1208054,0,
320.8053691,0,
323.4899329,0,
326.1744966,0,
328.8590604,0,
331.5436242,0,
334.2281879,0,
336.9127517,0,
339.5973154,0,
342.2818792,0,
344.966443,0,
347.6510067,0,
350.3355705,0,
353.0201342,0,
355.704698,0,
358.3892617,0,
361.0738255,0,
363.7583893,0,
366.442953,0,
369.1275168,0,
371.8120805,0,
374.4966443,0,
377.1812081,0,
379.8657718,0,
382.5503356,0,
385.2348993,0,
387.9194631,0,
390.6040268,0,
393.2885906,0,
395.9731544,0,
398.6577181,0,
