pulseheight,counts,
1.342281879,0,
4.026845638,3,
6.711409396,0,
9.395973154,3,
12.08053691,3,
14.76510067,1,
17.44966443,0,
20.13422819,0,
22.81879195,0,
25.5033557,0,
28.18791946,0,
30.87248322,0,
33.55704698,0,
36.24161074,0,
38.9261745,0,
41.61073826,0,
44.29530201,0,
46.97986577,0,
49.66442953,0,
52.34899329,0,
55.03355705,0,
57.71812081,0,
60.40268456,0,
63.08724832,0,
65.77181208,0,
68.45637584,0,
71.1409396,0,
73.82550336,0,
76.51006711,0,
79.19463087,0,
81.87919463,0,
84.56375839,1,
87.24832215,1,
89.93288591,1,
92.61744966,0,
95.30201342,0,
97.98657718,4,
100.6711409,41,
103.3557047,62,
106.0402685,48,
108.7248322,58,
111.409396,64,
114.0939597,64,
116.7785235,69,
119.4630872,61,
122.147651,78,
124.8322148,57,
127.5167785,81,
130.2013423,67,
132.885906,89,
135.5704698,86,
138.2550336,79,
140.9395973,75,
143.6241611,72,
146.3087248,95,
148.9932886,100,
151.6778523,94,
154.3624161,130,
157.0469799,104,
159.7315436,107,
162.4161074,121,
165.1006711,113,
167.7852349,121,
170.4697987,150,
173.1543624,145,
175.8389262,185,
178.5234899,183,
181.2080537,222,
183.8926174,255,
186.5771812,277,
189.261745,342,
191.9463087,418,
194.6308725,528,
197.3154362,649,
200,792,
202.6845638,1076,
205.3691275,1516,
208.0536913,2227,
210.738255,3155,
213.4228188,5438,
216.1073826,10664,
218.7919463,17662,
221.4765101,1568,
224.1610738,58,
226.8456376,19,
229.5302013,3,
232.2147651,3,
234.8993289,1,
237.5838926,3,
240.2684564,1,
242.9530201,2,
245.6375839,2,
248.3221477,5,
251.0067114,3,
253.6912752,4,
256.3758389,10,
259.0604027,11,
261.7449664,11,
264.4295302,20,
267.114094,25,
269.7986577,26,
272.4832215,21,
275.1677852,9,
277.852349,15,
280.5369128,14,
283.2214765,12,
285.9060403,12,
288.590604,9,
291.2751678,16,
293.9597315,16,
296.6442953,21,
299.3288591,269,
302.0134228,53,
304.6979866,17,
307.3825503,15,
310.0671141,7,
312.7516779,0,
315.4362416,1,
318.1208054,1,
320.8053691,0,
323.4899329,0,
326.1744966,0,
328.8590604,0,
331.5436242,0,
334.2281879,0,
336.9127517,0,
339.5973154,0,
342.2818792,0,
344.966443,0,
347.6510067,0,
350.3355705,0,
353.0201342,0,
355.704698,0,
358.3892617,0,
361.0738255,0,
363.7583893,0,
366.442953,0,
369.1275168,0,
371.8120805,0,
374.4966443,0,
377.1812081,0,
379.8657718,0,
382.5503356,0,
385.2348993,0,
387.9194631,0,
390.6040268,0,
393.2885906,0,
395.9731544,0,
398.6577181,0,
